id,name,name_norm,uic,latitude,longitude,parent_station_id,country,time_zone,is_city,is_main_station,is_airport
359,Hestroff,Hestroff,8711749.0,49.266667,6.433333,,FR,Europe/Paris,False,False,False
360,Vaudreching,Vaudreching,8711750.0,49.284483,6.523714,,FR,Europe/Paris,False,False,False
361,Alzing,Alzing,8711751.0,49.283333,6.55,,FR,Europe/Paris,False,False,False
363,Villette,Villette,8711756.0,49.474443,5.541571,,FR,Europe/Paris,False,False,False
364,Colmey—Flabeuville,Colmey-Flabeuville,8711757.0,49.457202,5.555477,,FR,Europe/Paris,False,False,False
365,Montigny-sur-Chiers,Montigny-sur-Chiers,8711759.0,49.483333,5.666667,,FR,Europe/Paris,False,False,False
366,Lexy,Lexy,8711760.0,49.5,5.733333,8749.0,FR,Europe/Paris,False,True,False
367,Ingolsheim,Ingolsheim,8711761.0,48.97402,7.935905,,FR,Europe/Paris,False,False,False
372,Hertzing,Hertzing,8711768.0,48.683333,6.95,,FR,Europe/Paris,False,False,False
373,Bébing,Bebing,8711769.0,48.7,7.0,,FR,Europe/Paris,False,False,False
376,Drouilly,Drouilly,8711778.0,48.766667,4.516667,,FR,Europe/Paris,False,False,False
377,Aiguillon,Aiguillon,8758669.0,44.2987224,0.3352388,,FR,Europe/Paris,False,False,False
378,St-Martin-aux-Champs,St-Martin-aux-Champs,8711779.0,48.816667,4.483333,,FR,Europe/Paris,False,False,False
379,Bouilly,Bouilly,8711790.0,48.2,4.0,,FR,Europe/Paris,False,False,False
380,Chamoy,Chamoy,8711791.0,48.116667,3.966667,,FR,Europe/Paris,False,False,False
381,Jeugny,Jeugny,8711792.0,48.128443,4.039581,,FR,Europe/Paris,False,False,False
382,Montigny-les-Monts,Montigny-les-Monts,8711793.0,48.1,3.95,,FR,Europe/Paris,False,False,False
383,St-Germain Mairie,St-Germain Mairie,8711794.0,48.259911,4.007804,,FR,Europe/Paris,False,False,False
384,St-Jean-de-Bonneval,St-Jean-de-Bonneval,8711795.0,48.166667,4.05,,FR,Europe/Paris,False,False,False
385,St-Phal Monument aux morts,St-Phal Monument aux morts,8711796.0,48.116667,4.0,,FR,Europe/Paris,False,False,False
386,Villery,Villery,8711797.0,48.165524,4.023086,,FR,Europe/Paris,False,False,False
